Center frequency;5;
Sampling freq.;160;
Samples;512;
Reference amplitude;100;

Time(µs);Amplitude(dB);Amplitude(val);
2.425;-5.7528E1;-1.3292E-1;
2.4313;-5.8135E1;-1.2396E-1;
2.4375;-6.0235E1;-9.7335E-2;
2.4438;-6.5204E1;-5.4931E-2;
2.45;NaN;0E0;
2.4563;-6.3992E1;6.3157E-2;
2.4625;-5.7748E1;1.296E-1;
2.4688;-5.4235E1;1.9419E-1;
2.475;-5.197E1;2.5204E-1;
2.4812;-5.0489E1;2.9892E-1;
2.4875;-4.9589E1;3.3156E-1;
2.4938;-4.9171E1;3.479E-1;
2.5;-4.9187E1;3.4724E-1;
2.5062;-4.9625E1;3.3019E-1;
2.5125;-5.0497E1;2.9863E-1;
2.5188;-5.1855E1;2.5543E-1;
2.525;-5.3797E1;2.0425E-1;
2.5312;-5.6527E1;1.4915E-1;
2.5375;-6.0513E1;9.4263E-2;
2.5438;-6.724E1;4.345E-2;
2.55;NaN;0E0;
2.5563;-6.9469E1;-3.3615E-2;
2.5625;-6.5052E1;-5.5901E-2;
2.5688;-6.3555E1;-6.6414E-2;
2.575;-6.3643E1;-6.5745E-2;
2.5813;-6.5128E1;-5.5409E-2;
2.5875;-6.8479E1;-3.7676E-2;
2.5938;-7.629E1;-1.5329E-2;
2.6;-8.1314E1;8.596E-3;
2.6062;-7.0148E1;3.1089E-2;
2.6125;-6.6121E1;4.9425E-2;
2.6188;-6.4238E1;6.1391E-2;
2.625;-6.3681E1;6.5458E-2;
2.6312;-6.431E1;6.0886E-2;
2.6375;-6.6419E1;4.7759E-2;
2.6438;-7.139E1;2.6946E-2;
2.65;NaN;0E0;
2.6562;-7.0172E1;-3.1002E-2;
2.6625;-6.3923E1;-6.3655E-2;
2.6688;-6.0405E1;-9.5443E-2;
2.675;-5.8135E1;-1.2396E-1;
2.6813;-5.6648E1;-1.471E-1;
2.6875;-5.5744E1;-1.6324E-1;
2.6938;-5.5323E1;-1.7134E-1;
2.7;-5.5337E1;-1.7105E-1;
2.7063;-5.5775E1;-1.6265E-1;
2.7125;-5.665E1;-1.4707E-1;
2.7188;-5.8011E1;-1.2573E-1;
2.725;-5.9961E1;-1.0045E-1;
2.7312;-6.2702E1;-7.3264E-2;
2.7375;-6.6703E1;-4.6222E-2;
2.7438;-7.3451E1;-2.1255E-2;
2.75;NaN;0E0;
2.7562;-7.5746E1;1.6319E-2;
2.7625;-7.1382E1;2.6972E-2;
2.7688;-6.9962E1;3.176E-2;
2.775;-7.0172E1;3.1003E-2;
2.7812;-7.1873E1;2.5489E-2;
2.7875;-7.5716E1;1.6376E-2;
2.7938;-8.5885E1;5.0789E-3;
2.8;-8.3258E1;-6.8724E-3;
2.8063;-7.4908E1;-1.7971E-2;
2.8125;-7.1416E1;-2.6867E-2;
2.8188;-6.9768E1;-3.248E-2;
2.825;-6.935E1;-3.4081E-2;
2.8313;-7.0076E1;-3.1349E-2;
2.8375;-7.226E1;-2.4377E-2;
2.8438;-7.7295E1;-1.3654E-2;
2.85;NaN;0E0;
2.8562;-7.6187E1;1.5511E-2;
2.8625;-6.999E1;3.1658E-2;
2.8688;-6.6524E1;4.7187E-2;
2.875;-6.4305E1;6.0915E-2;
2.8812;-6.2873E1;7.1837E-2;
2.8875;-6.2026E1;7.92E-2;
2.8938;-6.1664E1;8.2562E-2;
2.9;-6.1743E1;8.1816E-2;
2.9062;-6.2249E1;7.7186E-2;
2.9125;-6.3199E1;6.9195E-2;
2.9188;-6.4641E1;5.8604E-2;
2.925;-6.6681E1;4.6341E-2;
2.9313;-6.9523E1;3.341E-2;
2.9375;-7.3637E1;2.0805E-2;
2.9438;-8.0514E1;9.425E-3;
2.95;NaN;0E0;
2.9563;-8.3149E1;-6.9594E-3;
2.9625;-7.902E1;-1.1195E-2;
2.9688;-7.792E1;-1.2706E-2;
2.975;-7.8609E1;-1.1737E-2;
2.9812;-8.1172E1;-8.738E-3;
2.9875;-8.7311E1;-4.3095E-3;
2.9938;-1.0132E2;8.5857E-4;
3;-8.4353E1;6.058E-3;
3.0062;-7.947E1;1.0629E-2;
3.0125;-7.7066E1;1.4018E-2;
3.0188;-7.6012E1;1.5826E-2;
3.025;-7.6007E1;1.5836E-2;
3.0312;-7.7063E1;1.4023E-2;
3.0375;-7.9538E1;1.0546E-2;
3.0438;-8.4844E1;5.7251E-3;
3.05;NaN;0E0;
3.0563;-8.4268E1;-6.1181E-3;
3.0625;-7.8345E1;-1.2099E-2;
3.0688;-7.5166E1;-1.7446E-2;
3.075;-7.3255E1;-2.1741E-2;
3.0813;-7.2152E1;-2.4682E-2;
3.0875;-7.1665E1;-2.6106E-2;
3.0938;-7.1701E1;-2.5998E-2;
3.1;-7.2223E1;-2.4481E-2;
3.1062;-7.323E1;-2.1802E-2;
3.1125;-7.4754E1;-1.8294E-2;
3.1188;-7.6868E1;-1.4342E-2;
3.125;-7.9707E1;-1.0343E-2;
3.1312;-8.3532E1;-6.6588E-3;
3.1375;-8.8903E1;-3.588E-3;
3.1438;-9.7484E1;-1.3359E-3;
3.15;NaN;0E0;
3.1562;-1.0728E2;4.3272E-4;
3.1625;-1.2231E2;7.664E-5;
3.1688;-1.0118E2;-8.7249E-4;
3.175;-9.3287E1;-2.1659E-3;
3.1813;-8.9032E1;-3.535E-3;
3.1875;-8.651E1;-4.726E-3;
3.1938;-8.5143E1;-5.5314E-3;
